Document ID,Date Published,Inventor
US 20250374115 A1,12-04-25,KHAFIZOV; Farid et al.
US 20250371321 A1,12-04-25,KHAFIZOV; Farid et al.
US 20250071035 A1,02-27-25,Khafizov; Farid et al.
US 20240365234 A1,10-31-24,Chiu; Chin et al.
US 20240334216 A1,10-03-24,KHAFIZOV; Farid et al.
US 20240143011 A1,05-02-24,KHAFIZOV; Farid et al.
US 20230289282 A1,09-14-23,Khafizov; Farid et al.
US 20230156482 A1,05-18-23,Khafizov; Farid et al.
US 20230156620 A1,05-18-23,Khafizov; Farid et al.
US 11924778 B2,03-05-24,Khafizov; Farid et al.
US 20240172128 A1,05-23-24,Khafizov; Farid et al.
US 12213083 B2,01-28-25,Khafizov; Farid et al.
US 11329737 B1,05-10-22,Khafizov; Farid et al.
US 20220239395 A1,07-28-22,Khafizov; Farid et al.
US 11716161 B2,08-01-23,Khafizov; Farid et al.
US 20220030110 A1,01-27-22,Khafizov; Farid et al.
US 20220046131 A1,02-10-22,Khafizov; Farid et al.
US 11272058 B2,03-08-22,Khafizov; Farid et al.
US 11637928 B2,04-25-23,Khafizov; Farid et al.
US 20210044697 A1,02-11-21,Khafizov; Farid et al.
US 11140266 B2,10-05-21,Khafizov; Farid et al.
US 10191609 B1,01-29-19,Khafizov; Farid et al.
US 11216145 B1,01-04-22,Khafizov; Farid et al.
US 9996370 B1,06-12-18,Khafizov; Farid et al.
US 10423435 B1,09-24-19,Khafizov; Farid et al.
US 9619056 B1,04-11-17,Khafizov; Farid et al.
US 9471385 B1,10-18-16,Khafizov; Farid et al.
US 9766939 B1,09-19-17,Khafizov; Farid et al.
US 10180859 B1,01-15-19,Khafizov; Farid et al.
US 10628224 B1,04-21-20,Khafizov; Farid et al.
US 11216311 B1,01-04-22,Khafizov; Farid et al.
US 9465577 B1,10-11-16,Khafizov; Farid et al.
US 9798518 B1,10-24-17,Khafizov; Farid et al.
US 10114503 B1,10-30-18,Khafizov; Farid et al.
US 10545725 B1,01-28-20,Khafizov; Farid et al.
US 9405400 B1,08-02-16,Khafizov; Farid et al.
US 9335894 B1,05-10-16,Khafizov; Farid et al.
US 9383887 B1,07-05-16,Khafizov; Farid et al.
US 8892594 B1,11-18-14,Khafizov; Farid et al.
US 9092526 B1,07-28-15,Khafizov; Farid et al.
US 9471685 B1,10-18-16,Khafizov; Farid et al.
US 9495363 B1,11-15-16,Khafizov; Farid et al.
US 9817901 B1,11-14-17,Khafizov; Farid et al.
US 9965555 B1,05-08-18,Khafizov; Farid et al.
US 11017034 B1,05-25-21,Khafizov; Farid et al.
US 8786560 B1,07-22-14,Khafizov; Farid et al.
US 9524042 B1,12-20-16,Khafizov; Farid et al.
US 9817519 B1,11-14-17,Khafizov; Farid et al.
US 9891750 B1,02-13-18,Khafizov; Farid et al.
US 10073566 B1,09-11-18,Khafizov; Farid et al.
US 10088949 B1,10-02-18,Khafizov; Farid et al.
US 10254889 B1,04-09-19,Khafizov; Farid et al.
US 10481727 B1,11-19-19,Khafizov; Farid et al.
US 10481725 B1,11-19-19,Khafizov; Farid et al.
US 20140179335 A1,06-26-14,PIKHLETSKY; Mikhail et al.
US 9408210 B2,08-02-16,Pikhletsky; Mikhail et al.
US 8713064 B1,04-29-14,Khafizov; Farid et al.
US 8868612 B1,10-21-14,Khafizov; Farid et al.
US 8996582 B1,03-31-15,Khafizov; Farid et al.
US 9075853 B1,07-07-15,Khafizov; Farid et al.
US 9348863 B1,05-24-16,Khafizov; Farid et al.
US 9355190 B1,05-31-16,Khafizov; Farid et al.
US 9817863 B1,11-14-17,Khafizov; Farid et al.
US 9846729 B1,12-19-17,Khafizov; Farid et al.
US 10417220 B1,09-17-19,Khafizov; Farid et al.
US 20130308521 A1,11-21-13,Mikhail; Pikhletsky et al.
US 9332558 B2,05-03-16,Pikhletsky; Mikhail et al.
US 20110014875 A1,01-20-11,Chao; Zhijun et al.
US 8666441 B2,03-04-14,Chao; Zhijun et al.
US 7299064 B1,11-20-07,Paranchych; David et al.
US 7075913 B1,07-11-06,Yavuz; Mehmet et al.
US 20030125035 A1,07-03-03,"Khafizov, Farid T.  et al."
US 20020085521 A1,07-04-02,"Tripathi, Nishith D.  et al."
US 6862268 B2,03-01-05,Tripathi; Nishith D. et al.
US 20020071446 A1,06-13-02,"Khafizov, Farid  et al."
US 6944175 B2,09-13-05,Khafizov; Farid et al.
US 20020071445 A1,06-13-02,"Wu, Geng  et al."
US 6952426 B2,10-04-05,Wu; Geng et al.
US 20020071419 A1,06-13-02,"Paranchych, David  et al."
US 6810018 B2,10-26-04,Paranchych; David et al.
US 6016429 A,01-18-00,Khafizov; Farid et al.
US 5826218 A,10-20-98,Khafizov; Farid et al.
